ensembl_gene_id gene_symbol entrezgene_id
ENSRNOG00000023373 Sec24b 295461
ENSRNOG00000022857 Wdr92 498418
ENSRNOG00000000464 Rxrb 361801
ENSRNOG00000012089 Cstf3 362178
ENSRNOG00000043210 Ppp3r1 29748
ENSRNOG00000011953 Supt16h 305851
ENSRNOG00000007552 Arhgap36 302819
ENSRNOG00000002783 Serpinc1 304917
ENSRNOG00000049822 LOC100909830 103690064
ENSRNOG00000049822 LOC103690064 103690064
ENSRNOG00000029876 Gucy1a2 66012
ENSRNOG00000000804 Mrps18b 294230
ENSRNOG00000027194 Sgsm2 303304
ENSRNOG00000000520 Srsf3 361814
ENSRNOG00000058119 Olr1733 309583
ENSRNOG00000018517 Trim21 308901
ENSRNOG00000009466 Unc45b 303373
ENSRNOG00000024762 Frmd7 302826
ENSRNOG00000013282 Mctp1 309928
ENSRNOG00000001482 Gtf2ird2 288606
ENSRNOG00000012609 Trdn 59299
ENSRNOG00000003326 Rrn3 304714
ENSRNOG00000016396 Fbxo11 301674
ENSRNOG00000016134 Msh6 100360342
ENSRNOG00000000523 Ppil1 309651
ENSRNOG00000058776 Olr1734 406018
ENSRNOG00000025864 Lemd2 108348120
ENSRNOG00000025864 LOC108348120 108348120
ENSRNOG00000025864 Lemd2 361807
ENSRNOG00000025864 LOC108348120 361807
ENSRNOG00000050043 Olr1735 294190
ENSRNOG00000025155 Lmtk2 304286
ENSRNOG00000028627 Hmcn1 289094
ENSRNOG00000010023 Slc33a1 64018
ENSRNOG00000042186 Mln 100126231
ENSRNOG00000000487 Grm4 24417
ENSRNOG00000029986 Insr 24954
ENSRNOG00000021719 Slfn5 303377
ENSRNOG00000056944 Arhgap24 305156
ENSRNOG00000000861 Zic3 367944
ENSRNOG00000016804 Il25 501996
ENSRNOG00000052572 LOC103690302 103690302
ENSRNOG00000052572 Aff2 103690302
ENSRNOG00000052572 LOC103690302 293922
ENSRNOG00000052572 Aff2 293922
ENSRNOG00000008117 Galnt11 311952
ENSRNOG00000001962 Fam3b 304050
ENSRNOG00000061930 Olr1736 405203
ENSRNOG00000051158 Cfb 294257
ENSRNOG00000055562 Dkc1 170944
ENSRNOG00000024435 Galnt17 288611
ENSRNOG00000051235 C2 24231
ENSRNOG00000014243 Pear1 295293
ENSRNOG00000008837 Ass1 25698
ENSRNOG00000013313 Nceh1 294930
ENSRNOG00000013452 Rcn1 362182
ENSRNOG00000019763 Mlph 316620
ENSRNOG00000000420 Nelfe 294258
ENSRNOG00000051391  103692328
ENSRNOG00000033133 Nae1 84019
ENSRNOG00000000524 RGD735065 294311
ENSRNOG00000015195 Hdhd3 688746
ENSRNOG00000058260 Gpbar1 338443
ENSRNOG00000048048 Olr1737 405349
ENSRNOG00000002953 P2ry4 63843
ENSRNOG00000051151 Gmps 295088
ENSRNOG00000051195 Vom2r22 690758
ENSRNOG00000019649 Cul4a 361181
ENSRNOG00000049092 Vom2r18 286984
ENSRNOG00000026907 Zbtb37 304918
ENSRNOG00000000525 Pi16 294312
ENSRNOG00000016828 Cmtm5 290214
ENSRNOG00000029883 Olr1738 406039
ENSRNOG00000029883 Olr1738 294186
ENSRNOG00000014965 Mas1l 404641
ENSRNOG00000006104 Tg 24826
ENSRNOG00000002904 Arr3 171107
ENSRNOG00000052839 Olr1739 405202
ENSRNOG00000000527 Mtch1 294313
ENSRNOG00000021412 Slfn13 303378
ENSRNOG00000023030 Cd96 498079
ENSRNOG00000030639 Usp13 310306
ENSRNOG00000002708 Phf8 317425
ENSRNOG00000055097 Terb1 307615
ENSRNOG00000005133 Mapt 29477
ENSRNOG00000054549 Lss 81681
ENSRNOG00000051950 Cnga3 85257
ENSRNOG00000000918 Zbed5 288622
ENSRNOG00000028441 LOC100909869 294343
ENSRNOG00000028441 LOC103690173 294343
ENSRNOG00000028441 Zfp280b 294343
ENSRNOG00000014797 Tmbim1 316516
ENSRNOG00000051286 LOC100911516 100911516
ENSRNOG00000001239 Ddt 29318
ENSRNOG00000020134 Upf1 684558
ENSRNOG00000014399 Aamp 301512
ENSRNOG00000047229 Trim68 684189
ENSRNOG00000014806 Pnkd 100188944
ENSRNOG00000050991 LOC100910798 100910798
ENSRNOG00000005982 C1d 289810
ENSRNOG00000051180 LOC100911516 316643
ENSRNOG00000051180 Chchd2 316643
ENSRNOG00000000763 RT1-M3-1 24747
ENSRNOG00000001237 Cabin1 94165
ENSRNOG00000002813 Dars2 304919
ENSRNOG00000056714 Sla 338477
ENSRNOG00000015206 Alad 25374
ENSRNOG00000006487 Casp8ap2 313128
ENSRNOG00000043508 Magebl1 302438
ENSRNOG00000001031 Ocm2 25503
ENSRNOG00000001034 Evi5l 304201
ENSRNOG00000004629 Fkbp3 299104
ENSRNOG00000060019 LOC103692984 103692984
ENSRNOG00000012368 Dnajc17 311329
ENSRNOG00000007346 Grasp 192254
ENSRNOG00000005310 Cul1 362356
ENSRNOG00000006934 Acvr1b 29381
ENSRNOG00000054648 Tspy1 25223
ENSRNOG00000033389 Susd2 294335
ENSRNOG00000018304 Lars1 291624
ENSRNOG00000040301 Galntl5 499968
ENSRNOG00000002407 Pdxdc1 103689979
ENSRNOG00000002407 Pdxdc1 304721
ENSRNOG00000000920 Phkg1 29353
ENSRNOG00000038231  302435
ENSRNOG00000051964 LOC108348190 103691699
ENSRNOG00000051964 LOC108348190 108348190
ENSRNOG00000051964 LOC108348190 25313
ENSRNOG00000051382 Ntan1 103690022
ENSRNOG00000001032 Ccz1b 360768
ENSRNOG00000000809 Atat1 361789
ENSRNOG00000047697 Ggt1 116568
ENSRNOG00000056721 Fancm 314172
ENSRNOG00000022848 MGC114483 302434
ENSRNOG00000046428 Lrrc75b 100365744
ENSRNOG00000020259 RGD1305347 362576
ENSRNOG00000002838 Pdzd11 302422
ENSRNOG00000050410 Snrpd3 687711
ENSRNOG00000010676 Smarce1 303518
ENSRNOG00000049952 Gucd1 687713
ENSRNOG00000053042 LOC103694540 103694540
ENSRNOG00000051238 Mphosph8 290270
ENSRNOG00000011962 Gin1 316687
ENSRNOG00000000635 Arid5b 309728
ENSRNOG00000027859 Tmem26 309724
ENSRNOG00000022806 Mageb4 317271
ENSRNOG00000033346 LOC100361636 689229
ENSRNOG00000033346 LOC100361636 100361636
ENSRNOG00000050846 Timm10b 84384
ENSRNOG00000047002 Fstl5 365823
ENSRNOG00000051355 RGD1559970 503444
ENSRNOG00000022812 Ercc5 301382
ENSRNOG00000051281 RGD1561382 302432
ENSRNOG00000019536 Smim3 286910
ENSRNOG00000051291 Dnhd1 690115
ENSRNOG00000000596 Fyn 25150
ENSRNOG00000013953 Ntrk1 59109
ENSRNOG00000015631 Ippk 306808
ENSRNOG00000047513  362498
ENSRNOG00000038230 Mageb18 317270
ENSRNOG00000038789 Cenpl 289150
ENSRNOG00000050220 Nrxn1 60391
ENSRNOG00000022081 Ddi1 367012
ENSRNOG00000007037 Cfap57 679641
ENSRNOG00000029148 Pdgfd 66018
ENSRNOG00000000304 Cd164 83689
ENSRNOG00000037668 LOC102554658 102554658
ENSRNOG00000023093 Mis18bp1 689296
ENSRNOG00000018426 NEWGENE_2134 108348160
ENSRNOG00000018426 Apoc1 108348160
ENSRNOG00000018426 NEWGENE_2134 25292
ENSRNOG00000018426 Apoc1 25292
ENSRNOG00000040279 Slf1 294601
ENSRNOG00000061097 Lrit3 502596
ENSRNOG00000000299 Foxo3 294515
ENSRNOG00000013323 Rnf217 292188
ENSRNOG00000042289 Plcxd2 363781
ENSRNOG00000048933 LOC691918 691918
ENSRNOG00000048933 LOC691918 100911033
ENSRNOG00000000922 Sumf2 360800
ENSRNOG00000038035 Kif4a 84393
ENSRNOG00000046705 Snx3 684097
ENSRNOG00000025222 Pcid2 361182
ENSRNOG00000025791 Dync1li2 81655
ENSRNOG00000000323 Prdm1 309871
